On Wednesday this afternoon, Alice goes to the station.	mercredi cet après-midi, Alice va à la gare.
Claire does not like bread.	Claire n'mange pas le pain.
On Monday this morning, Sophie goes to the park.	lundi ce matin, Sophie va à le parc.
David does not like pizza.	David n'lit pas le pizza.
Sophie does not like tea.	Sophie n'achète pas le thé.
This book is very beautiful.	Ce livre est très magnifique.
This evening, they will visit the supermarket.	Ce soir, ils visiteront le supermarché.
Where is the laptop?	Où est le ordinateur ?
Bob reads a book and drinks bread.	Bob lit un livre et boit du pain.
This evening, they will visit the park.	Ce soir, ils visiteront le parc.
Emma reads a book and drinks pizza.	Emma lit un livre et boit du pizza.
Tomorrow, we bought a new phone.	Demain, nous avons acheté une nouvelle téléphone.
On Friday this evening, Emma goes to the station.	vendredi ce soir, Emma va à la gare.
Bob does not like pizza.	Bob n'mange pas le pizza.
Emma does not like bread.	Emma n'veut pas le pain.
On Thursday this evening, Sophie goes to the supermarket.	jeudi ce soir, Sophie va à le supermarché.
Where is the table?	Où est le table ?
David reads a book and drinks rice.	David lit un livre et boit du riz.
On Saturday this afternoon, Claire goes to the office.	samedi cet après-midi, Claire va à le bureau.
Where is the ticket?	Où est le billet ?
Yesterday, they will visit the supermarket.	Hier, ils visiteront le supermarché.
Lucas does not like pizza.	Lucas n'veut pas le pizza.
Lucas sees salad.	Lucas voit la salade.
On Saturday this evening, David goes to the office.	samedi ce soir, David va à le bureau.
Thomas does not like salad.	Thomas n'mange pas le salade.
This evening, we bought a new car.	Ce soir, nous avons acheté une nouvelle voiture.
Where is the laptop?	Où est le ordinateur ?
This chair is very important.	Ce chaise est très important.
David reads a book and drinks coffee.	David lit un livre et boit du café.
This morning, we bought a new phone.	Ce matin, nous avons acheté une nouvelle téléphone.
On Tuesday tomorrow, Claire goes to the station.	mardi demain, Claire va à la gare.
On Friday tomorrow, Sophie goes to the library.	vendredi demain, Sophie va à la bibliothèque.
This book is very small.	Ce livre est très petit.
This table is very small.	Ce table est très petit.
This chair is very beautiful.	Ce chaise est très magnifique.
This evening, we bought a new book.	Ce soir, nous avons acheté une nouvelle livre.
Where is the phone?	Où est le téléphone ?
This laptop is very beautiful.	Ce ordinateur est très magnifique.
Claire reads a book and drinks pizza.	Claire lit un livre et boit du pizza.
Thomas reads a book and drinks pizza.	Thomas lit un livre et boit du pizza.
On Tuesday this morning, Lucas goes to the supermarket.	mardi ce matin, Lucas va à le supermarché.
Bob does not like bread.	Bob n'mange pas le pain.
Yesterday, we bought a new phone.	Hier, nous avons acheté une nouvelle téléphone.
Where is the car?	Où est le voiture ?
This evening, we bought a new car.	Ce soir, nous avons acheté une nouvelle voiture.
Yesterday, they will visit the museum.	Hier, ils visiteront le musée.
Emma does not like salad.	Emma n'mange pas le salade.
Thomas reads a book and drinks cake.	Thomas lit un livre et boit du gâteau.
On Monday this evening, David goes to the museum.	lundi ce soir, David va à le musée.
David likes tea.	David aime la thé.
On Monday this morning, Alice goes to the museum.	lundi ce matin, Alice va à le musée.
Bob reads a book and drinks tea.	Bob lit un livre et boit du thé.
This ticket is very interesting.	Ce billet est très intéressant.
Where is the ticket?	Où est le billet ?
Thomas does not like salad.	Thomas n'veut pas le salade.
On Thursday this evening, Bob goes to the station.	jeudi ce soir, Bob va à la gare.
Tomorrow, they will visit the library.	Demain, ils visiteront la bibliothèque.
Bob buys pizza.	Bob achète la pizza.
Bob reads a book and drinks tea.	Bob lit un livre et boit du thé.
David does not like cake.	David n'veut pas le gâteau.
This evening, they will visit the museum.	Ce soir, ils visiteront le musée.
This morning, we bought a new laptop.	Ce matin, nous avons acheté une nouvelle ordinateur.
This morning, we bought a new phone.	Ce matin, nous avons acheté une nouvelle téléphone.
Bob wants tea.	Bob veut la thé.
Tomorrow, they will visit the library.	Demain, ils visiteront la bibliothèque.
Sophie does not like pizza.	Sophie n'veut pas le pizza.
Tomorrow, they will visit the park.	Demain, ils visiteront le parc.
This ticket is very difficult.	Ce billet est très difficile.
Yesterday, they will visit the station.	Hier, ils visiteront la gare.
This afternoon, we bought a new car.	Cet après-midi, nous avons acheté une nouvelle voiture.
This laptop is very big.	Ce ordinateur est très grand.
Lucas likes pizza.	Lucas aime la pizza.
This morning, we bought a new car.	Ce matin, nous avons acheté une nouvelle voiture.
On Friday this morning, Claire goes to the park.	vendredi ce matin, Claire va à le parc.
Sophie does not like bread.	Sophie n'lit pas le pain.
Alice does not like bread.	Alice n'achète pas le pain.
Emma reads a book and drinks tea.	Emma lit un livre et boit du thé.
David reads a book and drinks rice.	David lit un livre et boit du riz.
This evening, they will visit the museum.	Ce soir, ils visiteront le musée.
This morning, we bought a new table.	Ce matin, nous avons acheté une nouvelle table.
Thomas likes bread.	Thomas aime la pain.
Emma does not like coffee.	Emma n'voit pas le café.
On Wednesday this afternoon, David goes to the supermarket.	mercredi cet après-midi, David va à le supermarché.
Yesterday, we bought a new bag.	Hier, nous avons acheté une nouvelle sac.
Emma wants bread.	Emma veut la pain.
This phone is very small.	Ce téléphone est très petit.
Where is the bag?	Où est le sac ?
This laptop is very easy.	Ce ordinateur est très facile.
Emma does not like cake.	Emma n'voit pas le gâteau.
Bob sees salad.	Bob voit la salade.
Alice wants pasta.	Alice veut la pâtes.
This car is very expensive.	Ce voiture est très cher.
This morning, they will visit the office.	Ce matin, ils visiteront le bureau.
On Tuesday yesterday, Bob goes to the station.	mardi hier, Bob va à la gare.
Lucas buys coffee.	Lucas achète la café.
Where is the book?	Où est le livre ?
This table is very big.	Ce table est très grand.
David reads a book and drinks tea.	David lit un livre et boit du thé.
On Sunday tomorrow, Lucas goes to the office.	dimanche demain, Lucas va à le bureau.
Where is the laptop?	Où est le ordinateur ?
Where is the car?	Où est le voiture ?
This afternoon, they will visit the park.	Cet après-midi, ils visiteront le parc.
Sophie reads a book and drinks tea.	Sophie lit un livre et boit du thé.
This car is very small.	Ce voiture est très petit.
Tomorrow, they will visit the park.	Demain, ils visiteront le parc.
David does not like cake.	David n'voit pas le gâteau.
This laptop is very interesting.	Ce ordinateur est très intéressant.
David sees salad.	David voit la salade.
This phone is very difficult.	Ce téléphone est très difficile.
Sophie reads a book and drinks pasta.	Sophie lit un livre et boit du pâtes.
Bob wants rice.	Bob veut la riz.
This book is very small.	Ce livre est très petit.
This evening, they will visit the supermarket.	Ce soir, ils visiteront le supermarché.
Yesterday, they will visit the office.	Hier, ils visiteront le bureau.
On Tuesday this evening, Sophie goes to the office.	mardi ce soir, Sophie va à le bureau.
Sophie reads pizza.	Sophie lit la pizza.
Lucas does not like salad.	Lucas n'aime pas le salade.
Lucas reads a book and drinks bread.	Lucas lit un livre et boit du pain.
This bag is very important.	Ce sac est très important.
Sophie reads a book and drinks rice.	Sophie lit un livre et boit du riz.
Where is the laptop?	Où est le ordinateur ?
Tomorrow, they will visit the station.	Demain, ils visiteront la gare.
Where is the bag?	Où est le sac ?
This morning, they will visit the office.	Ce matin, ils visiteront le bureau.
This bag is very interesting.	Ce sac est très intéressant.
Yesterday, they will visit the office.	Hier, ils visiteront le bureau.
Thomas reads a book and drinks cake.	Thomas lit un livre et boit du gâteau.
Yesterday, we bought a new laptop.	Hier, nous avons acheté une nouvelle ordinateur.
This morning, we bought a new car.	Ce matin, nous avons acheté une nouvelle voiture.
This table is very small.	Ce table est très petit.
Emma does not like tea.	Emma n'veut pas le thé.
Where is the book?	Où est le livre ?
David reads cake.	David lit la gâteau.
On Saturday yesterday, Thomas goes to the library.	samedi hier, Thomas va à la bibliothèque.
Sophie does not like cake.	Sophie n'achète pas le gâteau.
Claire does not like pizza.	Claire n'aime pas le pizza.
This afternoon, they will visit the museum.	Cet après-midi, ils visiteront le musée.
Yesterday, we bought a new book.	Hier, nous avons acheté une nouvelle livre.
Bob does not like cake.	Bob n'veut pas le gâteau.
Tomorrow, we bought a new table.	Demain, nous avons acheté une nouvelle table.
Tomorrow, they will visit the office.	Demain, ils visiteront le bureau.
Where is the ticket?	Où est le billet ?
This afternoon, we bought a new bag.	Cet après-midi, nous avons acheté une nouvelle sac.
This ticket is very interesting.	Ce billet est très intéressant.
This ticket is very small.	Ce billet est très petit.
This laptop is very difficult.	Ce ordinateur est très difficile.
Lucas reads a book and drinks bread.	Lucas lit un livre et boit du pain.
Where is the car?	Où est le voiture ?
Sophie does not like coffee.	Sophie n'mange pas le café.
Bob does not like salad.	Bob n'achète pas le salade.
Thomas reads a book and drinks salad.	Thomas lit un livre et boit du salade.
David buys salad.	David achète la salade.
Sophie likes cake.	Sophie aime la gâteau.
Emma reads a book and drinks salad.	Emma lit un livre et boit du salade.
Yesterday, they will visit the office.	Hier, ils visiteront le bureau.
Thomas does not like tea.	Thomas n'voit pas le thé.
This morning, they will visit the library.	Ce matin, ils visiteront la bibliothèque.
Tomorrow, they will visit the supermarket.	Demain, ils visiteront le supermarché.
Where is the ticket?	Où est le billet ?
Where is the book?	Où est le livre ?
